Country,Clicks,Impressions,CTR,Position
United States,224,25327,0.88%,24.83
India,16,299,5.35%,32.77
Philippines,11,281,3.91%,6.89
Pakistan,10,109,9.17%,13.54
Canada,3,295,1.02%,12.68
Dominican Republic,2,14,14.29%,9.29
U.S. Virgin Islands,2,4,50%,1.25
Vietnam,1,50,2%,27.18
South Africa,1,43,2.33%,15.3
South Korea,1,32,3.12%,36
Nigeria,1,8,12.5%,16
Kyrgyzstan,1,7,14.29%,14.43
United Kingdom,0,179,0%,21.84
Brazil,0,124,0%,29.65
Italy,0,53,0%,37.83
Mexico,0,48,0%,20.4
Colombia,0,41,0%,20.32
Germany,0,39,0%,11.49
France,0,33,0%,17.18
Australia,0,33,0%,37.82
Indonesia,0,32,0%,15.88
Russia,0,28,0%,45.32
Egypt,0,25,0%,22.08
Spain,0,25,0%,25.6
Argentina,0,25,0%,33.16
Bangladesh,0,24,0%,14.62
Turkey,0,24,0%,16.83
Ecuador,0,24,0%,20.58
Thailand,0,20,0%,18.4
Japan,0,19,0%,36.84
China,0,16,0%,8
Poland,0,16,0%,10.25
Morocco,0,14,0%,7.29
Netherlands,0,12,0%,5.08
Taiwan,0,12,0%,22.17
Saudi Arabia,0,12,0%,24.25
Ukraine,0,11,0%,31
Romania,0,10,0%,4.1
Venezuela,0,10,0%,20.7
Algeria,0,9,0%,26.78
Peru,0,9,0%,32
Honduras,0,8,0%,6.25
Sweden,0,8,0%,20.25
Ireland,0,8,0%,28.5
Bulgaria,0,8,0%,39.5
Hong Kong,0,7,0%,7
United Arab Emirates,0,7,0%,8.43
Malaysia,0,7,0%,28.14
Myanmar (Burma),0,6,0%,7.17
Chile,0,6,0%,8.83
Namibia,0,6,0%,18.83
Portugal,0,6,0%,19.67
Lithuania,0,6,0%,28.5
Uganda,0,5,0%,1
Madagascar,0,5,0%,4.2
Greece,0,5,0%,6.4
Slovakia,0,5,0%,9.2
Cambodia,0,5,0%,11.8
New Zealand,0,5,0%,25.2
Tunisia,0,5,0%,31.2
Lebanon,0,4,0%,1.5
Belgium,0,4,0%,3.5
Kenya,0,4,0%,6.5
Nicaragua,0,4,0%,8
Singapore,0,4,0%,9.5
Czechia,0,4,0%,9.75
Hungary,0,4,0%,15.5
Albania,0,3,0%,2.67
Austria,0,3,0%,4
Switzerland,0,3,0%,5
Trinidad & Tobago,0,3,0%,5
Norway,0,3,0%,6.67
Ghana,0,3,0%,7
Denmark,0,3,0%,9
Oman,0,3,0%,9
Iran,0,3,0%,10
Kuwait,0,3,0%,10
Ethiopia,0,3,0%,19
Paraguay,0,3,0%,28
Cyprus,0,3,0%,28.33
Guatemala,0,3,0%,29.33
Jordan,0,3,0%,35
Latvia,0,3,0%,36
Nepal,0,3,0%,39.33
Panama,0,3,0%,50
Uruguay,0,3,0%,51
Maldives,0,2,0%,1.5
Djibouti,0,2,0%,4
Moldova,0,2,0%,5
Finland,0,2,0%,5.5
Iraq,0,2,0%,6.5
Macedonia,0,2,0%,12.5
Syria,0,2,0%,19
Uzbekistan,0,2,0%,20
Belarus,0,2,0%,47.5
Guadeloupe,0,1,0%,1
Grenada,0,1,0%,1
Malta,0,1,0%,1
Senegal,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,2
Tanzania,0,1,0%,3
Sudan,0,1,0%,4
Costa Rica,0,1,0%,5
Western Sahara,0,1,0%,5
Georgia,0,1,0%,6
Unknown Region,0,1,0%,6
Belize,0,1,0%,7
El Salvador,0,1,0%,7
Bahamas,0,1,0%,8
Jamaica,0,1,0%,8
Bahrain,0,1,0%,10
Israel,0,1,0%,10
Croatia,0,1,0%,11
Côte d’Ivoire,0,1,0%,12
Fiji,0,1,0%,12
Bolivia,0,1,0%,15
Guinea-Bissau,0,1,0%,16
Puerto Rico,0,1,0%,17
St. Vincent & Grenadines,0,1,0%,41
Qatar,0,1,0%,58
Benin,0,1,0%,83
Serbia,0,1,0%,90